model,cv_random_mean,cv_random_std,cv_grouped_mean,cv_grouped_std,random_accuracy,random_auroc,random_aupr,random_precision,random_recall,random_f1,random_log_loss,random_brier,grouped_accuracy,grouped_auroc,grouped_aupr,grouped_precision,grouped_recall,grouped_f1,grouped_log_loss,grouped_brier,accuracy_optimism
Logistic Regression,0.928086911592049,0.004065642171247948,0.9249149942876445,0.008745957192050355,0.9280868385345997,0.9785117458843814,0.9765373135025793,0.9343915343915344,0.9010204081632653,0.9174025974025974,0.18298555027686497,0.05425315839764832,0.9271290605794557,0.9785338539231273,0.9751780918381903,0.9219367588932806,0.9147058823529411,0.9183070866141733,0.18890149607717965,0.05843552844639501,0.0009577779551440679
Random Forest,0.969470698224065,0.0018599280621623092,0.9546369467253122,0.010398790257327381,0.9769335142469471,0.9966498947263713,0.9964492122735582,0.9803516028955532,0.9673469387755103,0.9738058551617874,0.0745047912620879,0.019524577137272167,0.9552238805970149,0.9916417282334238,0.9901523033469645,0.9544554455445544,0.9450980392156862,0.9497536945812808,0.1253018718750913,0.03612643580337181,0.02170963364993217
Gradient Boosting,0.951040480983453,0.002488099896903887,0.946092062703951,0.007322687404139431,0.9565807327001357,0.9925210132793978,0.9918012670441022,0.9566115702479339,0.9448979591836735,0.9507186858316222,0.11044401975522196,0.03179417105012323,0.9473222124670764,0.9908737024221455,0.9893343642276097,0.9464285714285714,0.9352941176470588,0.9408284023668639,0.12502367182134172,0.03743089821149157,0.009258520233059286
XGBoost,0.9664174227328883,0.0027897809099487704,0.9568160916924192,0.004784504082528858,0.9728629579375848,0.9964555115303635,0.9961895906137286,0.9771784232365145,0.9612244897959183,0.9691358024691358,0.07202600539951447,0.020122626982881423,0.9587357330992098,0.9938413759780543,0.9928143252199404,0.9486434108527132,0.9598039215686275,0.9541910331384016,0.09975276603681789,0.031122334538364604,0.01412722483837503
LightGBM,0.967548452611466,0.0020751250021958,0.95640236079206,0.007872836952417205,0.9733152419719584,0.9967423199986737,0.9965601707936854,0.9772020725388602,0.9622448979591837,0.9696658097686375,0.06752025816064632,0.018957907107255503,0.9556628621597892,0.9941686929143677,0.9931920528635504,0.951819075712881,0.9490196078431372,0.9504172803141875,0.0979341587201749,0.03034318714976008,0.01765237981216916
