feature_set,accuracy,auroc,aupr,precision,recall,f1,log_loss,brier,n_features
A_url_string,0.723537293434569,0.8036705244925767,0.7183551864847447,0.6582388840453357,0.7688391038696538,0.7092531705025834,0.5210276364453886,0.17831964887708435,8.0
A_plus_B_url_and_content,0.8928092898615453,0.9608060441973016,0.9511983750843582,0.8816872427983539,0.8727087576374746,0.8771750255885363,0.4114962599617885,0.0751949781914394,19.0
A_plus_B_plus_C_deployable,0.9401518535060295,0.9713372932352756,0.9526563229533973,0.9416666666666667,0.9205702647657841,0.9309989701338826,0.49823645566478053,0.05233233611405776,25.0
all_30,0.9504242965609647,0.9894529534808738,0.9867644872043315,0.9376884422110553,0.9501018329938901,0.9438543247344461,0.13671134881736172,0.03877381546613616,30.0
