scenario,accuracy,auroc,aupr,precision,recall,f1,log_loss,brier
original_2012,0.9504242965609647,0.9894529534808738,0.9867644872043315,0.9376884422110553,0.9501018329938901,0.9438543247344461,0.13671134881736172,0.03877381546613616
universal_https,0.8941491737382761,0.9713960274600728,0.9698644301202779,0.9685534591194969,0.7841140529531568,0.8666291502532358,0.31739112153356713,0.08086123220816802
dead_reputation,0.8950424296560965,0.9729409401040527,0.9674854431345101,0.8273444347063978,0.9613034623217923,0.8893075836081017,0.2569544653575855,0.07261157551322661
https_and_dead_reputation,0.8691380080393033,0.9364483535784129,0.9225761277208151,0.858480749219563,0.840122199592668,0.8492022645393721,0.35857421763905556,0.09503737649867107
drop_unavailable_2026,0.9410451094238499,0.9734910164990513,0.9642350359235232,0.9399585921325052,0.924643584521385,0.9322381930184805,0.3596441552467787,0.05207222688021643
