model,random_accuracy,grouped_accuracy,accuracy_optimism,random_auroc,grouped_auroc,auroc_optimism,random_f1,grouped_f1,random_brier,grouped_brier
Logistic Regression,0.9272727272727274,0.9262277568590644,0.0010449704136629157,0.9787695931880945,0.9779558579077022,0.0008137352803923026,0.9167998182827264,0.9155544092777707,0.05455527350222946,0.0554659040591081
Random Forest,0.9707824513794663,0.9548104446581306,0.015972006721335696,0.9958285873318082,0.9925326268820406,0.0032959604497676542,0.9667396348018971,0.949006033952065,0.02230337653714328,0.03395197755161791
Gradient Boosting,0.951334237901402,0.9469829460506093,0.004351291850792749,0.9918366710946316,0.9904384925446678,0.0013981785499638244,0.9443639099753168,0.9396952219361735,0.03536074146693149,0.037861946573312495
XGBoost,0.966711895070104,0.9550044549507632,0.011707440119340773,0.9959753647179488,0.993526091728187,0.0024492729897618304,0.9621810950109102,0.9494503942998384,0.024042505680272004,0.030917987155907562
LightGBM,0.9730438715513342,0.9559138402001487,0.017130031351185515,0.9969235864630945,0.9939188821184072,0.003004704344687359,0.9693241429487107,0.9504876616384893,0.020172651255044964,0.030034937830214065
